Sample in Buffer,Sample in Window,TRIGGER,test_OBUF,r_rst,r_vaild,r_cnt[6:0],r_alu_flags_rom[3:0],w_alu_flags[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,UNSIGNED,HEX,HEX
896,896,0,1,0,1,1,2,2
897,897,0,1,0,1,2,8,8
898,898,0,1,0,1,3,0,0
899,899,0,1,0,1,4,a,a
900,900,0,1,0,1,5,0,0
901,901,0,1,0,1,6,8,8
902,902,0,1,0,1,7,0,0
903,903,0,1,0,1,8,8,8
904,904,0,1,0,1,9,2,2
905,905,0,1,0,1,10,a,a
906,906,0,1,0,1,11,3,3
907,907,0,1,0,1,12,2,2
908,908,0,1,0,1,13,0,0
909,909,0,1,0,1,14,a,a
910,910,0,1,0,1,15,0,0
911,911,0,1,0,1,16,8,8
912,912,0,1,0,1,17,8,8
913,913,0,1,0,1,18,8,8
914,914,0,1,0,1,19,0,0
915,915,0,1,0,1,20,2,2
916,916,0,1,0,1,21,9,9
917,917,0,1,0,1,22,8,8
918,918,0,1,0,1,23,8,8
919,919,0,1,0,1,24,8,8
920,920,0,1,0,1,25,8,8
921,921,0,1,0,1,26,9,9
922,922,0,1,0,1,27,3,3
923,923,0,1,0,1,28,0,0
924,924,0,1,0,1,29,2,2
925,925,0,1,0,1,30,8,8
926,926,0,1,0,1,31,3,3
927,927,0,1,0,1,32,a,a
928,928,0,1,0,1,33,2,2
929,929,0,1,0,1,34,8,8
930,930,0,1,0,1,35,8,8
931,931,0,1,0,1,36,3,3
932,932,0,1,0,1,37,8,8
933,933,0,1,0,1,38,9,9
934,934,0,1,0,1,39,8,8
935,935,0,1,0,1,40,0,0
936,936,0,1,0,1,41,2,2
937,937,0,1,0,1,42,8,8
938,938,0,1,0,1,43,0,0
939,939,0,1,0,1,44,2,2
940,940,0,1,0,1,45,8,8
941,941,0,1,0,1,46,8,8
942,942,0,1,0,1,47,8,8
943,943,0,1,0,1,48,8,8
944,944,0,1,0,1,49,8,8
945,945,0,1,0,1,50,0,0
946,946,0,1,0,1,51,0,0
947,947,0,1,0,1,52,8,8
948,948,0,1,0,1,53,8,8
949,949,0,1,0,1,54,8,8
950,950,0,1,0,1,55,8,8
951,951,0,1,0,1,56,0,0
952,952,0,1,0,1,57,9,9
953,953,0,1,0,1,58,a,a
954,954,0,1,0,1,59,0,0
955,955,0,1,0,1,60,3,3
956,956,0,1,0,1,61,8,8
957,957,0,1,0,1,62,2,2
958,958,0,1,0,1,63,a,a
959,959,0,1,0,1,64,0,0
960,960,0,1,0,1,65,8,8
961,961,0,1,0,1,66,8,8
962,962,0,1,0,1,67,8,8
963,963,0,1,0,1,68,0,0
